,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,Rating
108,0,0,1,Full-time,Mid-Senior level,,Computer Software,Project Management,0,8
109,0,1,0,Full-time,Director,Bachelor's Degree,Management Consulting,Management,0,6
110,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,12
111,0,1,0,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,9
112,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Customer Service,0,9
113,0,1,0,Full-time,Mid-Senior level,,"Leisure, Travel & Tourism",Management,0,8
114,1,1,0,,,,,Sales,0,9
115,0,1,1,,Not Applicable,High School or equivalent,Human Resources,Human Resources,0,15
116,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Administrative,0,10
117,0,1,1,,,,,,0,6
118,0,1,0,Full-time,Director,,Computer Software,,0,10
119,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
120,0,1,0,Full-time,Associate,High School or equivalent,Consumer Services,Administrative,0,8
121,0,1,1,Full-time,,,,,0,8
122,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
123,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
124,0,1,0,Part-time,Entry level,High School or equivalent,Education Management,Customer Service,0,10
125,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,11
126,0,1,0,Full-time,Mid-Senior level,,Internet,,0,9
127,0,1,1,Full-time,Associate,Unspecified,Pharmaceuticals,Sales,0,10
128,0,1,1,Temporary,Internship,Some College Coursework Completed,Farming,,0,12
129,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,11
130,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,8
131,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,14
132,0,1,0,Full-time,Mid-Senior level,,Computer Software,Design,0,14
133,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
134,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0,11
135,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
136,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,10
137,0,1,1,,,,,,0,6
138,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,7
139,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,9
140,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
141,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0,9
142,0,1,0,,,,,,0,9
143,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,20
144,0,0,0,,,,,,1,16
145,0,1,0,Full-time,Associate,Unspecified,Computer Software,Other,0,8
146,0,1,0,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,10
147,0,0,0,Full-time,,,,,0,14
148,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,,0,9
149,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,11
150,0,1,0,Full-time,Associate,Unspecified,Marketing and Advertising,Information Technology,0,16
151,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
152,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Luxury Goods & Jewelry,Sales,0,9
153,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0,11
154,0,0,0,Contract,,High School or equivalent,Machinery,Production,0,9
155,0,0,0,Full-time,Associate,High School or equivalent,Real Estate,Customer Service,0,9
156,0,1,0,,,,,,0,12
157,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
158,1,0,1,Contract,,,,Customer Service,0,16
159,0,1,1,,,,,,0,11
160,0,0,0,Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0,7
161,0,0,1,Full-time,Director,Bachelor's Degree,,,0,15
162,0,1,0,Full-time,Mid-Senior level,,Public Relations and Communications,Public Relations,0,7
163,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,11
164,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0,6
165,0,1,1,Full-time,Internship,Bachelor's Degree,Computer Software,Marketing,0,12
166,0,0,0,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Sales,0,8
167,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0,10
168,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Administrative,0,11
169,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,12
170,0,1,1,Full-time,,,,,0,11
171,0,1,0,Full-time,Associate,Vocational,Marketing and Advertising,Information Technology,0,6
172,0,1,0,Full-time,Associate,,Medical Practice,,0,7
173,0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1,8
174,0,1,1,Full-time,Associate,,Cosmetics,Sales,0,13
175,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0,9
176,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
177,0,1,1,Other,Entry level,High School or equivalent,Financial Services,,0,16
178,0,1,1,Full-time,Director,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0,10
179,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Human Resources,0,29
180,0,0,0,,,,,Sales,1,0
181,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
182,0,1,1,Full-time,,,Oil & Energy,Engineering,0,7
183,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,7
184,0,1,0,,,,,,0,13
185,0,1,0,,,,Cosmetics,,0,14
186,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0,12
187,0,1,1,Part-time,Entry level,Some College Coursework Completed,Medical Practice,Other,0,14
188,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
189,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
190,0,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales,0,10
191,0,0,0,,,,,,0,9
192,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Information Technology,0,9
193,0,0,1,Full-time,Entry level,,Hospitality,,0,12
194,0,1,0,,,,,,0,15
195,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,12
196,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
197,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,7
198,0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,0,11
199,0,1,0,,,,,,0,7
200,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Advertising,0,11
201,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,9
202,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
203,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,6
204,0,1,0,,,,,,0,3
205,0,1,0,Full-time,Entry level,Bachelor's Degree,Consumer Electronics,Customer Service,0,10
206,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Customer Service,0,9
207,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,12
208,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
209,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,9
210,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,6
211,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Information Technology,0,13
212,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,6
213,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,9
214,0,0,0,,,,,,0,13
215,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1,11
216,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
217,0,1,0,Full-time,Director,,Computer Software,Management,0,11
218,0,1,0,Full-time,Entry level,Unspecified,Information Technology and Services,Production,0,7
219,0,1,0,Full-time,Director,Master's Degree,Telecommunications,Sales,0,14
220,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Music,Management,0,10
221,0,1,1,Full-time,,High School or equivalent,,Administrative,0,15
222,0,1,1,,,,,,0,3
223,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
224,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Customer Service,0,12
225,0,1,0,Full-time,Entry level,Bachelor's Degree,Financial Services,Finance,0,16
226,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
227,0,0,0,Full-time,Not Applicable,Unspecified,Market Research,Advertising,0,21
228,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,14
229,0,0,0,Full-time,Associate,Certification,Information Technology and Services,Information Technology,0,12
230,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0,9
231,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
232,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,15
233,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Information Technology,0,9
234,0,1,1,,,,,,0,13
235,0,1,0,,Not Applicable,High School or equivalent,,Sales,0,16
236,0,1,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,3
237,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
238,0,1,1,Full-time,Not Applicable,Unspecified,Education Management,Health Care Provider,0,8
239,0,0,0,Full-time,,,,,0,20
240,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,10
241,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0,12
242,0,0,1,Full-time,Not Applicable,Unspecified,Automotive,Sales,0,11
243,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,26
244,0,0,0,,,,,,0,12
245,0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Business Development,0,11
246,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
247,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Public Relations,0,8
248,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0,10
249,0,1,0,Full-time,,,,,0,12
250,0,1,0,Full-time,,,Information Technology and Services,Information Technology,0,6
251,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0,8
252,0,0,0,Full-time,,,,,0,14
253,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,27
254,0,0,0,Full-time,,,,,0,14
255,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0,14
256,0,1,0,Full-time,,,Information Technology and Services,Marketing,0,9
257,0,1,0,Full-time,Not Applicable,Unspecified,Internet,Administrative,0,13
258,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,General Business,0,8
259,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Product Management,0,10
260,0,1,1,,Not Applicable,High School or equivalent,,Customer Service,0,10
261,0,0,1,Full-time,Entry level,High School or equivalent,,Customer Service,0,12
262,0,1,1,Full-time,Mid-Senior level,Unspecified,Financial Services,Sales,0,7
263,0,1,0,Full-time,Not Applicable,High School or equivalent,,Customer Service,0,11
264,0,0,0,Contract,Mid-Senior level,,Information Technology and Services,Information Technology,0,10
265,0,1,0,,,,,,0,9
266,0,0,0,,,,,,0,12
267,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,9
268,0,1,0,Full-time,Mid-Senior level,,Internet,,0,8
269,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
270,0,1,0,,,,,Research,0,6
271,0,1,0,Full-time,,,Oil & Energy,,0,12
272,0,0,0,Full-time,,,Marketing and Advertising,,0,18
273,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
274,0,1,1,Full-time,,,,,0,9
275,0,1,1,Full-time,Not Applicable,Master's Degree,Computer Software,,0,11
276,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Sales,0,11
277,0,1,1,Full-time,Associate,,Internet,Information Technology,0,8
278,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,27
279,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Sales,0,10
280,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
281,0,1,1,Full-time,Director,Bachelor's Degree,Computer Software,Project Management,0,8
282,0,1,1,Full-time,,,,,0,13
283,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,11
284,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
285,0,1,0,Full-time,Entry level,Unspecified,Computer Software,Sales,0,12
286,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,14
287,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Design,0,12
288,0,1,0,,,,Building Materials,Sales,0,7
289,1,1,1,Other,Internship,Bachelor's Degree,Computer Software,Engineering,0,17
290,0,1,0,,,,,Research,0,7
291,0,1,0,Full-time,Associate,Bachelor's Degree,Consumer Goods,Accounting/Auditing,0,8
292,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
293,0,1,0,Full-time,Entry level,,Financial Services,,0,10
294,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Philanthropy,Engineering,0,8
295,0,1,1,Full-time,Entry level,Bachelor's Degree,Online Media,Art/Creative,0,13
296,0,1,1,Full-time,,,,,0,8
297,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0,11
298,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Sales,0,9
299,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,8
300,0,1,0,Full-time,Entry level,,Financial Services,,0,11
301,0,1,0,Full-time,Entry level,Unspecified,Computer Software,,0,13
302,0,1,0,Full-time,Not Applicable,Unspecified,Hospital & Health Care,,0,8
303,0,0,0,Full-time,Not Applicable,Bachelor's Degree,Utilities,Engineering,0,16
304,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Other,0,10
305,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
306,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,12
307,0,1,1,Full-time,Associate,,Hospitality,Product Management,0,8
308,0,1,0,Contract,Not Applicable,,Banking,Information Technology,0,7
309,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
310,0,1,0,,,,,,0,14
311,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,0,11
312,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Sales,0,9
313,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
314,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Human Resources,0,9
315,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Project Management,0,10
316,0,1,1,Full-time,,,,Sales,0,9
317,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Consulting,0,9
318,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Online Media,Advertising,0,9
319,0,1,0,Full-time,,Bachelor's Degree,Telecommunications,Engineering,0,14
320,0,1,0,Full-time,Mid-Senior level,,Online Media,,0,10
321,0,1,0,Full-time,,Unspecified,"Health, Wellness and Fitness",Management,0,13
322,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Quality Assurance,0,8
323,0,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,,0,13
324,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Strategy/Planning,0,11
325,0,1,0,,,,,,0,12
326,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
327,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0,12
328,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
329,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Marketing,0,11
330,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,26
331,0,1,0,,,,,,0,9
332,1,1,1,Contract,,,,,0,19
333,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Customer Service,0,11
334,0,1,0,Full-time,Entry level,,Information Technology and Services,Information Technology,0,9
335,0,1,0,,,,,Marketing,0,16
336,0,1,0,Other,Internship,High School or equivalent,Information Technology and Services,Sales,0,7
337,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Administrative,0,12
338,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,24
339,0,1,0,,,,,,0,10
340,0,1,1,Full-time,,,Marketing and Advertising,Accounting/Auditing,0,8
341,0,1,1,Temporary,,,,,0,11
342,0,1,0,Full-time,Director,Bachelor's Degree,Farming,Customer Service,0,13
343,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Quality Assurance,0,9
344,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,26
345,0,1,0,Full-time,Not Applicable,Unspecified,Primary/Secondary Education,Education,0,11
346,0,0,1,,,,,,0,9
347,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
348,0,1,0,,,,,Marketing,0,10
349,0,1,0,,,,,,0,11
350,0,1,0,Full-time,Associate,,Logistics and Supply Chain,Supply Chain,0,7
351,0,1,1,Full-time,,,Design,Design,0,11
352,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Gambling & Casinos,Marketing,0,8
353,0,1,0,,,,,,0,11
354,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,8
355,0,1,1,Full-time,,Bachelor's Degree,Primary/Secondary Education,Education,0,10
356,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,12
357,0,0,0,Contract,Associate,,Automotive,,1,14
358,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,9
359,0,1,0,Part-time,,,Accounting,Accounting/Auditing,0,17
360,1,0,0,Part-time,,,,,0,12
361,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Engineering,0,8
362,0,1,1,Full-time,Associate,Bachelor's Degree,Insurance,Consulting,0,13
363,0,1,1,Full-time,Director,Bachelor's Degree,"Health, Wellness and Fitness",Marketing,0,8
364,0,1,1,,,,,,0,11
365,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
366,1,1,1,Full-time,Director,Associate Degree,Information Technology and Services,Sales,0,8
367,0,1,1,,Not Applicable,High School or equivalent,,Administrative,0,14
368,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0,10
369,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Environmental Services,Project Management,0,7
370,0,0,1,,,,,,0,9
371,0,1,1,Full-time,Director,Bachelor's Degree,Internet,Marketing,0,11
372,0,1,1,Full-time,Internship,Master's Degree,Financial Services,Consulting,0,9
373,0,0,0,Full-time,,,,,0,7
374,0,0,0,Full-time,Mid-Senior level,High School or equivalent,Construction,General Business,0,11
375,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,7
376,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,6
377,0,1,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Design,0,5
378,0,0,1,Full-time,Associate,Bachelor's Degree,Mental Health Care,Information Technology,0,12
379,0,1,1,Full-time,,,,,0,13
380,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,7
381,0,1,1,Full-time,,,,,0,13
382,0,0,0,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0,7
383,0,1,1,Full-time,Not Applicable,,Investment Management,,0,8
384,0,0,0,Full-time,,,Marketing and Advertising,,0,23
385,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Information Technology,0,12
386,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
387,0,1,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Quality Assurance,0,6
